id,arabic_letter,position
1,ء,normal
2,ء,last
3,ا,normal
4,ا,last
5,إ,normal
6,إ,last
7,أ,normal
8,أ,last
9,آ,normal
10,آ,last
11,ب,normal
12,ب,last
13,ة,last
14,ت,normal
15,ت,last
16,ث,normal
17,ث,last
18,ج,normal
19,ج,last
20,ح,normal
21,ح,last
22,خ,normal
23,خ,last
24,د,normal
25,د,last
26,ذ,normal
27,ذ,last
28,ر,normal
29,ر,last
30,ز,normal
31,ز,last
32,س,normal
33,س,last
34,ش,normal
35,ش,last
36,ص,normal
37,ص,last
38,ض,normal
39,ض,last
40,ط,normal
41,ط,last
42,ظ,normal
43,ظ,last
44,ع,normal
45,ع,last
46,غ,normal
47,غ,last
48,ف,normal
49,ف,last
50,ق,normal
51,ق,last
52,ك,normal
53,ك,last
54,ل,normal
55,ل,last
56,م,normal
57,م,last
58,ن,normal
59,ن,last
60,ه,normal
61,ه,last
62,و,normal
63,و,last
64,ؤ,normal
65,ؤ,last
66,ى,last
67,ي,normal
68,ي,last
69,ئ,normal
70,ئ,last
71,bos,last
72,space,last
73,eos,last
